,词汇,词性
185,8,数词
186,牛,名词
187,B,名词
188,月亮,名词
189,模式,名词
190,太,副词
191,强,形容词
192,了,助词
193,雷,名词
194,总,区别词
195,雷,名词
196,总,区别词
197,，,标点符号
198,日常,区别词
199,催,动词
200,平板,名词
201,5,数词
202,。,标点符号
203,。,标点符号
204,。,标点符号
205,所以,连词
206,，,标点符号
207,抽奖,动词
208,吗,语气词
209,？,标点符号
210,军军,名词
211,期待,动词
212,小米,名词
213,10,数词
214,和,连词
215,Discovery,名词
216,一起,副词
217,探索,动词
218,！,标点符号
219,平板,名词
220,5,数词
221,快,形容词
222,点,量词
223,出,动词
224,，,标点符号
225,我,代词
226,平板,名词
227,4,数词
228,不,副词
229,想,动词
230,用,动词
231,了,助词
232,明天,时间词
233,看,动词
234,大,形容词
235,片,量词
236,雷,名词
237,总,区别词
238,，,标点符号
239,我,代词
240,想,动词
241,提,动词
242,个,量词
243,建议,名词
244,，,标点符号
245,小米,名词
246,售后服务,名词
247,中心,名词
248,，,标点符号
249,能,动词
250,不,副词
251,能,动词
252,多,形容词
253,开,动词
254,一点,数词
255,啊,语气词
256,，,标点符号
257,我,代词
258,在,介词
259,北京,名词
260,，,标点符号
261,整个,区别词
262,北京,名词
263,城东,处所词
264,半,数词
265,部,量词
266,，,标点符号
267,平谷,名词
268,密云,名词
269,怀柔,名词
270,顺义,名词
271,四,数词
272,个,量词
273,区,名词
274,，,标点符号
275,您,代词
276,看看,动词
277,，,标点符号
278,一个,数词
279,售,动词
280,后,方位词
281,中心,名词
282,都,副词
283,没有,动词
284,，,标点符号
285,修,动词
286,个,量词
287,手机,名词
288,还要,动词
289,去,动词
290,昌平,名词
291,海淀,名词
292,，,标点符号
293,太,副词
294,不,副词
295,方便,形容词
296,了,语气词
297,！,标点符号
298,！,标点符号
299,起来,动词
300,搞,动词
301,点,量词
302,小,形容词
303,米,量词
304,10,数词
305,发货,动词
306,吧,语气词
307,，,标点符号
308,起来,动词
309,搞,动词
310,点,量词
311,小,形容词
312,米,量词
313,10,数词
314,发货,动词
315,吧,语气词
316,，,标点符号
317,起来,动词
318,搞,动词
319,点,量词
320,小,形容词
321,米,量词
322,10,数词
323,发货,动词
324,吧,语气词
325,，,标点符号
326,谢谢,动词
327,大,形容词
328,佬,名词
329,雷,名词
330,总,副词
331,你,代词
332,转发,动词
333,也,副词
334,是,动词
335,为了,介词
336,小米,名词
337,手,名词
338,环,名词
339,吧,语气词
340,雷,名词
341,总,区别词
342, ,
343,求,动词
344,求,动词
345,你,代词
346,去,动词
347,拧,动词
348,螺丝,名词
349,吧,语气词
350,、,标点符号
351,米,名词
352,10,数词
353,都,副词
354,6,数词
355,天,量词
356,没,副词
357,发货,动词
358,了,助词
359,小,形容词
360,米,量词
361,10,数词
362,支持,动词
363,两,数词
364,张,量词
365,电信,名词
366,卡,名词
367,吗,语气词
368,？,标点符号
369,上月,时间词
370,25,数词
371,号,量词
372,全,形容词
373,款,名词
374,预售,动词
375,的,助词
376,10pro,名词
377,至今,副词
378,未,副词
379,发,动词
380,货,名词
381,，,标点符号
382,问,动词
383,具体,形容词
384,发货,动词
385,时间,名词
386,客,名词
387,服,动词
388,一,数词
389,问,动词
390,三,数词
391,不,副词
392,知,动词
393,，,标点符号
394,别,副词
395,家,量词
396,手机,名词
397,发布,动词
398,晚,时间词
399,，,标点符号
400,但,连词
401,马上,副词
402,就,介词
403,现货,名词
404,开,动词
405,售,动词
406,了,语气词
407,，,标点符号
408,小米,名词
409,还,副词
410,有,动词
411,先,副词
412,发,动词
413,优势,名词
414,吗,语气词
415,？,标点符号
416,Discovery,名词
417,和,连词
418,小米,名词
419,我,代词
420,都,副词
421,喜欢,动词
422,跪,动词
423,求,动词
424,出,动词
425,一个,数词
426,价格,名词
427,贵,形容词
428,一点,数词
429,的,助词
430,小米,名词
431,10s,名词
432,雷,名词
433,总,区别词
434,定制,名词
435,865x,名词
436,平板,名词
437,处理器,名词
438,一举,副词
439,攻,动词
440,下,动词
441,平板,名词
442,市场,名词
443,雷,名词
444,总,区别词
445,定制,名词
446,一个,数词
447,天,名词
448,玑,名词
449,1000,数词
450,的,助词
451,平板,名词
452,吧,语气词
453,，,标点符号
454,要,动词
455,3Dtouch,名词
456,的,助词
457,，,标点符号
458,要,动词
459,有,动词
460,手,名词
461,写,动词
462,笔,名词
463, ,
464, ,
465,考,名词
466,研,动词
467,党,名词
468,很,副词
469,需要,动词
470,啊,叹词
471,小米,名词
472,就,副词
473,是,动词
474,个,量词
475,毫无,动词
476,诚信,形容词
477,、,标点符号
478,出尔反尔,动词
479,的,助词
480,公司,名词
481,！,标点符号
482,！,标点符号
483,！,标点符号
484,网络,名词
485,上,方位词
486,渲染,动词
487,了,助词
488,半天,数词
489,，,标点符号
490,今年,时间词
491,我们,代词
492,要,动词
493,冲,动词
494,高,形容词
495,端,动词
496,了,语气词
497,，,标点符号
498,我们,代词
499,下,动词
500,血本,名词
501,了,语气词
502,，,标点符号
503,要,动词
504,卖,动词
505,得,助词
506,贵,形容词
507,了,语气词
508,！,标点符号
509,就,介词
510,你,代词
511,吼,动词
512,得,助词
513,最,副词
514,早,形容词
515,，,标点符号
516,吼,动词
517,得,助词
518,最,副词
519,响,动词
520,！,标点符号
521,结果,名词
522,呢,语气词
523,，,标点符号
524,人家,代词
525,卖,动词
526,到,动词
527,6999,数词
528,去,动词
529,了,语气词
530,，,标点符号
531,你们,代词
532,还,副词
533,用,动词
534,最,副词
535,贵,形容词
536,的,助词
537,料,名词
538,卖,动词
539,着,助词
540,最,副词
541,便宜,形容词
542,的,助词
543,价格,名词
544,，,标点符号
545,让,动词
546,别,副词
547,家,量词
548,卖,动词
549,高,形容词
550,端,动词
551,的,助词
552,怎么,代词
553,想,动词
554,，,标点符号
555,太,副词
556,不,副词
557,诚信,形容词
558,了,语气词
559,！,标点符号
560,说,动词
561,好,形容词
562,的,助词
563,高,形容词
564,端,动词
565,呢,语气词
566,？,标点符号
567,如果,连词
568,这个,代词
569,公司,名词
570,以后,方位词
571,还,副词
572,这么,代词
573,干,动词
574,，,标点符号
575,我,代词
576,.,标点符号
577,.,标点符号
578,.,标点符号
579,.,标点符号
580,.,标点符号
581,.,标点符号
582,我,代词
583,还,副词
584,买,动词
585,！,标点符号
586,！,标点符号
587,终于,副词
588,在,介词
589,我,代词
590,的,助词
591,劝说,动词
592,下,方位词
593,全家,名词
594,都,副词
595,要,动词
596,换,动词
597,小米,名词
598,了,语气词
599, ,
600,评论,动词
601,配,动词
602,图,名词
603,哇,语气词
604,，,标点符号
605,第一,数词
606,哎,叹词
607,，,标点符号
608,雷,名词
609,军,名词
610,爸爸,名词
611,回,动词
612,我,代词
613,一下,数词
614,好,形容词
615,不好,形容词
616,小米,名词
617,8,数词
618,牛,名词
619,B,名词
620,月亮,名词
621,模式,名词
622,太,副词
623,强,形容词
624,了,助词
625,雷,名词
626,总,区别词
627,雷,名词
628,总,区别词
629,，,标点符号
630,日常,区别词
631,催,动词
632,平板,名词
633,5,数词
634,。,标点符号
635,。,标点符号
636,。,标点符号
637,所以,连词
638,，,标点符号
639,抽奖,动词
640,吗,语气词
641,？,标点符号
642,军军,名词
643,期待,动词
644,小米,名词
645,10,数词
646,和,连词
647,Discovery,名词
648,一起,副词
649,探索,动词
650,！,标点符号
651,平板,名词
652,5,数词
653,快,形容词
654,点,量词
655,出,动词
656,，,标点符号
657,我,代词
658,平板,名词
659,4,数词
660,不,副词
661,想,动词
662,用,动词
663,了,助词
664,明天,时间词
665,看,动词
666,大,形容词
667,片,量词
668,雷,名词
669,总,区别词
670,，,标点符号
671,我,代词
672,想,动词
673,提,动词
674,个,量词
675,建议,名词
676,，,标点符号
677,小米,名词
678,售后服务,名词
679,中心,名词
680,，,标点符号
681,能,动词
682,不,副词
683,能,动词
684,多,形容词
685,开,动词
686,一点,数词
687,啊,语气词
688,，,标点符号
689,我,代词
690,在,介词
691,北京,名词
692,，,标点符号
693,整个,区别词
694,北京,名词
695,城东,处所词
696,半,数词
697,部,量词
698,，,标点符号
699,平谷,名词
700,密云,名词
701,怀柔,名词
702,顺义,名词
703,四,数词
704,个,量词
705,区,名词
706,，,标点符号
707,您,代词
708,看看,动词
709,，,标点符号
710,一个,数词
711,售,动词
712,后,方位词
713,中心,名词
714,都,副词
715,没有,动词
716,，,标点符号
717,修,动词
718,个,量词
719,手机,名词
720,还要,动词
721,去,动词
722,昌平,名词
723,海淀,名词
724,，,标点符号
725,太,副词
726,不,副词
727,方便,形容词
728,了,语气词
729,！,标点符号
730,！,标点符号
731,起来,动词
732,搞,动词
733,点,量词
734,小,形容词
735,米,量词
736,10,数词
737,发货,动词
738,吧,语气词
739,，,标点符号
740,起来,动词
741,搞,动词
742,点,量词
743,小,形容词
744,米,量词
745,10,数词
746,发货,动词
747,吧,语气词
748,，,标点符号
749,起来,动词
750,搞,动词
751,点,量词
752,小,形容词
753,米,量词
754,10,数词
755,发货,动词
756,吧,语气词
757,，,标点符号
758,谢谢,动词
759,大,形容词
760,佬,名词
761,雷,名词
762,总,副词
763,你,代词
764,转发,动词
765,也,副词
766,是,动词
767,为了,介词
768,小米,名词
769,手,名词
770,环,名词
771,吧,语气词
772,雷,名词
773,总,区别词
774, ,
775,求,动词
776,求,动词
777,你,代词
778,去,动词
779,拧,动词
780,螺丝,名词
781,吧,语气词
782,、,标点符号
783,米,名词
784,10,数词
785,都,副词
786,6,数词
787,天,量词
788,没,副词
789,发货,动词
790,了,助词
791,小,形容词
792,米,量词
793,10,数词
794,支持,动词
795,两,数词
796,张,量词
797,电信,名词
798,卡,名词
799,吗,语气词
800,？,标点符号
801,上月,时间词
802,25,数词
803,号,量词
804,全,形容词
805,款,名词
806,预售,动词
807,的,助词
808,10pro,名词
809,至今,副词
810,未,副词
811,发,动词
812,货,名词
813,，,标点符号
814,问,动词
815,具体,形容词
816,发货,动词
817,时间,名词
818,客,名词
819,服,动词
820,一,数词
821,问,动词
822,三,数词
823,不,副词
824,知,动词
825,，,标点符号
826,别,副词
827,家,量词
828,手机,名词
829,发布,动词
830,晚,时间词
831,，,标点符号
832,但,连词
833,马上,副词
834,就,介词
835,现货,名词
836,开,动词
837,售,动词
838,了,语气词
839,，,标点符号
840,小米,名词
841,还,副词
842,有,动词
843,先,副词
844,发,动词
845,优势,名词
846,吗,语气词
847,？,标点符号
848,Discovery,名词
849,和,连词
850,小米,名词
851,我,代词
852,都,副词
853,喜欢,动词
854,跪,动词
855,求,动词
856,出,动词
857,一个,数词
858,价格,名词
859,贵,形容词
860,一点,数词
861,的,助词
862,小米,名词
863,10s,名词
864,雷,名词
865,总,区别词
866,定制,名词
867,865x,名词
868,平板,名词
869,处理器,名词
870,一举,副词
871,攻,动词
872,下,动词
873,平板,名词
874,市场,名词
875,雷,名词
876,总,区别词
877,定制,名词
878,一个,数词
879,天,名词
880,玑,名词
881,1000,数词
882,的,助词
883,平板,名词
884,吧,语气词
885,，,标点符号
886,要,动词
887,3Dtouch,名词
888,的,助词
889,，,标点符号
890,要,动词
891,有,动词
892,手,名词
893,写,动词
894,笔,名词
895, ,
896, ,
897,考,名词
898,研,动词
899,党,名词
900,很,副词
901,需要,动词
902,啊,叹词
903,小米,名词
904,就,副词
905,是,动词
906,个,量词
907,毫无,动词
908,诚信,形容词
909,、,标点符号
910,出尔反尔,动词
911,的,助词
912,公司,名词
913,！,标点符号
914,！,标点符号
915,！,标点符号
916,网络,名词
917,上,方位词
918,渲染,动词
919,了,助词
920,半天,数词
921,，,标点符号
922,今年,时间词
923,我们,代词
924,要,动词
925,冲,动词
926,高,形容词
927,端,动词
928,了,语气词
929,，,标点符号
930,我们,代词
931,下,动词
932,血本,名词
933,了,语气词
934,，,标点符号
935,要,动词
936,卖,动词
937,得,助词
938,贵,形容词
939,了,语气词
940,！,标点符号
941,就,介词
942,你,代词
943,吼,动词
944,得,助词
945,最,副词
946,早,形容词
947,，,标点符号
948,吼,动词
949,得,助词
950,最,副词
951,响,动词
952,！,标点符号
953,结果,名词
954,呢,语气词
955,，,标点符号
956,人家,代词
957,卖,动词
958,到,动词
959,6999,数词
960,去,动词
961,了,语气词
962,，,标点符号
963,你们,代词
964,还,副词
965,用,动词
966,最,副词
967,贵,形容词
968,的,助词
969,料,名词
970,卖,动词
971,着,助词
972,最,副词
973,便宜,形容词
974,的,助词
975,价格,名词
976,，,标点符号
977,让,动词
978,别,副词
979,家,量词
980,卖,动词
981,高,形容词
982,端,动词
983,的,助词
984,怎么,代词
985,想,动词
986,，,标点符号
987,太,副词
988,不,副词
989,诚信,形容词
990,了,语气词
991,！,标点符号
992,说,动词
993,好,形容词
994,的,助词
995,高,形容词
996,端,动词
997,呢,语气词
998,？,标点符号
999,如果,连词
1000,这个,代词
1001,公司,名词
1002,以后,方位词
1003,还,副词
1004,这么,代词
1005,干,动词
1006,，,标点符号
1007,我,代词
1008,.,标点符号
1009,.,标点符号
1010,.,标点符号
1011,.,标点符号
1012,.,标点符号
1013,.,标点符号
1014,我,代词
1015,还,副词
1016,买,动词
1017,！,标点符号
1018,！,标点符号
1019,终于,副词
1020,在,介词
1021,我,代词
1022,的,助词
1023,劝说,动词
1024,下,方位词
1025,全家,名词
1026,都,副词
1027,要,动词
1028,换,动词
1029,小米,名词
1030,了,语气词
1031, ,
1032,评论,动词
1033,配,动词
1034,图,名词
1035,哇,语气词
1036,，,标点符号
1037,第一,数词
1038,哎,叹词
1039,，,标点符号
1040,雷,名词
1041,军,名词
1042,爸爸,名词
1043,回,动词
1044,我,代词
1045,一下,数词
1046,好,形容词
1047,不好,形容词
1048,小米,名词
1049,8,数词
1050,牛,名词
1051,B,名词
1052,月亮,名词
1053,模式,名词
1054,太,副词
1055,强,形容词
1056,了,助词
1057,雷,名词
1058,总,区别词
1059,雷,名词
1060,总,区别词
1061,，,标点符号
1062,日常,区别词
1063,催,动词
1064,平板,名词
1065,5,数词
1066,。,标点符号
1067,。,标点符号
1068,。,标点符号
1069,所以,连词
1070,，,标点符号
1071,抽奖,动词
1072,吗,语气词
1073,？,标点符号
1074,军军,名词
1075,期待,动词
1076,小米,名词
1077,10,数词
1078,和,连词
1079,Discovery,名词
1080,一起,副词
1081,探索,动词
1082,！,标点符号
1083,平板,名词
1084,5,数词
1085,快,形容词
1086,点,量词
1087,出,动词
1088,，,标点符号
1089,我,代词
1090,平板,名词
1091,4,数词
1092,不,副词
1093,想,动词
1094,用,动词
1095,了,助词
1096,明天,时间词
1097,看,动词
1098,大,形容词
1099,片,量词
1100,雷,名词
1101,总,区别词
1102,，,标点符号
1103,我,代词
1104,想,动词
1105,提,动词
1106,个,量词
1107,建议,名词
1108,，,标点符号
1109,小米,名词
1110,售后服务,名词
1111,中心,名词
1112,，,标点符号
1113,能,动词
1114,不,副词
1115,能,动词
1116,多,形容词
1117,开,动词
1118,一点,数词
1119,啊,语气词
1120,，,标点符号
1121,我,代词
1122,在,介词
1123,北京,名词
1124,，,标点符号
1125,整个,区别词
1126,北京,名词
1127,城东,处所词
1128,半,数词
1129,部,量词
1130,，,标点符号
1131,平谷,名词
1132,密云,名词
1133,怀柔,名词
1134,顺义,名词
1135,四,数词
1136,个,量词
1137,区,名词
1138,，,标点符号
1139,您,代词
1140,看看,动词
1141,，,标点符号
1142,一个,数词
1143,售,动词
1144,后,方位词
1145,中心,名词
1146,都,副词
1147,没有,动词
1148,，,标点符号
1149,修,动词
1150,个,量词
1151,手机,名词
1152,还要,动词
1153,去,动词
1154,昌平,名词
1155,海淀,名词
1156,，,标点符号
1157,太,副词
1158,不,副词
1159,方便,形容词
1160,了,语气词
1161,！,标点符号
1162,！,标点符号
1163,起来,动词
1164,搞,动词
1165,点,量词
1166,小,形容词
1167,米,量词
1168,10,数词
1169,发货,动词
1170,吧,语气词
1171,，,标点符号
1172,起来,动词
1173,搞,动词
1174,点,量词
1175,小,形容词
1176,米,量词
1177,10,数词
1178,发货,动词
1179,吧,语气词
1180,，,标点符号
1181,起来,动词
1182,搞,动词
1183,点,量词
1184,小,形容词
1185,米,量词
1186,10,数词
1187,发货,动词
1188,吧,语气词
1189,，,标点符号
1190,谢谢,动词
1191,大,形容词
1192,佬,名词
1193,雷,名词
1194,总,副词
1195,你,代词
1196,转发,动词
1197,也,副词
1198,是,动词
1199,为了,介词
1200,小米,名词
1201,手,名词
1202,环,名词
1203,吧,语气词
1204,雷,名词
1205,总,区别词
1206, ,
1207,求,动词
1208,求,动词
1209,你,代词
1210,去,动词
1211,拧,动词
1212,螺丝,名词
1213,吧,语气词
1214,、,标点符号
1215,米,名词
1216,10,数词
1217,都,副词
1218,6,数词
1219,天,量词
1220,没,副词
1221,发货,动词
1222,了,助词
1223,小,形容词
1224,米,量词
1225,10,数词
1226,支持,动词
1227,两,数词
1228,张,量词
1229,电信,名词
1230,卡,名词
1231,吗,语气词
1232,？,标点符号
1233,上月,时间词
1234,25,数词
1235,号,量词
1236,全,形容词
1237,款,名词
1238,预售,动词
1239,的,助词
1240,10pro,名词
1241,至今,副词
1242,未,副词
1243,发,动词
1244,货,名词
1245,，,标点符号
1246,问,动词
1247,具体,形容词
1248,发货,动词
1249,时间,名词
1250,客,名词
1251,服,动词
1252,一,数词
1253,问,动词
1254,三,数词
1255,不,副词
1256,知,动词
1257,，,标点符号
1258,别,副词
1259,家,量词
1260,手机,名词
1261,发布,动词
1262,晚,时间词
1263,，,标点符号
1264,但,连词
1265,马上,副词
1266,就,介词
1267,现货,名词
1268,开,动词
1269,售,动词
1270,了,语气词
1271,，,标点符号
1272,小米,名词
1273,还,副词
1274,有,动词
1275,先,副词
1276,发,动词
1277,优势,名词
1278,吗,语气词
1279,？,标点符号
1280,Discovery,名词
1281,和,连词
1282,小米,名词
1283,我,代词
1284,都,副词
1285,喜欢,动词
1286,跪,动词
1287,求,动词
1288,出,动词
1289,一个,数词
1290,价格,名词
1291,贵,形容词
1292,一点,数词
1293,的,助词
1294,小米,名词
1295,10s,名词
1296,雷,名词
1297,总,区别词
1298,定制,名词
1299,865x,名词
1300,平板,名词
1301,处理器,名词
1302,一举,副词
1303,攻,动词
1304,下,动词
1305,平板,名词
1306,市场,名词
1307,雷,名词
1308,总,区别词
1309,定制,名词
1310,一个,数词
1311,天,名词
1312,玑,名词
1313,1000,数词
1314,的,助词
1315,平板,名词
1316,吧,语气词
1317,，,标点符号
1318,要,动词
1319,3Dtouch,名词
1320,的,助词
1321,，,标点符号
1322,要,动词
1323,有,动词
1324,手,名词
1325,写,动词
1326,笔,名词
1327, ,
1328, ,
1329,考,名词
1330,研,动词
1331,党,名词
1332,很,副词
1333,需要,动词
1334,啊,叹词
1335,小米,名词
1336,就,副词
1337,是,动词
1338,个,量词
1339,毫无,动词
1340,诚信,形容词
1341,、,标点符号
1342,出尔反尔,动词
1343,的,助词
1344,公司,名词
1345,！,标点符号
1346,！,标点符号
1347,！,标点符号
1348,网络,名词
1349,上,方位词
1350,渲染,动词
1351,了,助词
1352,半天,数词
1353,，,标点符号
1354,今年,时间词
1355,我们,代词
1356,要,动词
1357,冲,动词
1358,高,形容词
1359,端,动词
1360,了,语气词
1361,，,标点符号
1362,我们,代词
1363,下,动词
1364,血本,名词
1365,了,语气词
1366,，,标点符号
1367,要,动词
1368,卖,动词
1369,得,助词
1370,贵,形容词
1371,了,语气词
1372,！,标点符号
1373,就,介词
1374,你,代词
1375,吼,动词
1376,得,助词
1377,最,副词
1378,早,形容词
1379,，,标点符号
1380,吼,动词
1381,得,助词
1382,最,副词
1383,响,动词
1384,！,标点符号
1385,结果,名词
1386,呢,语气词
1387,，,标点符号
1388,人家,代词
1389,卖,动词
1390,到,动词
1391,6999,数词
1392,去,动词
1393,了,语气词
1394,，,标点符号
1395,你们,代词
1396,还,副词
1397,用,动词
1398,最,副词
1399,贵,形容词
1400,的,助词
1401,料,名词
1402,卖,动词
1403,着,助词
1404,最,副词
1405,便宜,形容词
1406,的,助词
1407,价格,名词
1408,，,标点符号
1409,让,动词
1410,别,副词
1411,家,量词
1412,卖,动词
1413,高,形容词
1414,端,动词
1415,的,助词
1416,怎么,代词
1417,想,动词
1418,，,标点符号
1419,太,副词
1420,不,副词
1421,诚信,形容词
1422,了,语气词
1423,！,标点符号
1424,说,动词
1425,好,形容词
1426,的,助词
1427,高,形容词
1428,端,动词
1429,呢,语气词
1430,？,标点符号
1431,如果,连词
1432,这个,代词
1433,公司,名词
1434,以后,方位词
1435,还,副词
1436,这么,代词
1437,干,动词
1438,，,标点符号
1439,我,代词
1440,.,标点符号
1441,.,标点符号
1442,.,标点符号
1443,.,标点符号
1444,.,标点符号
1445,.,标点符号
1446,我,代词
1447,还,副词
1448,买,动词
1449,！,标点符号
1450,！,标点符号
1451,终于,副词
1452,在,介词
1453,我,代词
1454,的,助词
1455,劝说,动词
1456,下,方位词
1457,全家,名词
1458,都,副词
1459,要,动词
1460,换,动词
1461,小米,名词
1462,了,语气词
1463, ,
1464,评论,动词
1465,配,动词
1466,图,名词
1467,哇,语气词
1468,，,标点符号
1469,第一,数词
1470,哎,叹词
1471,，,标点符号
1472,雷,名词
1473,军,名词
1474,爸爸,名词
1475,回,动词
1476,我,代词
1477,一下,数词
1478,好,形容词
1479,不好,形容词
1480,小米,名词
1481,8,数词
1482,牛,名词
1483,B,名词
1484,月亮,名词
1485,模式,名词
1486,太,副词
1487,强,形容词
1488,了,助词
1489,雷,名词
1490,总,区别词
1491,雷,名词
1492,总,区别词
1493,，,标点符号
1494,日常,区别词
1495,催,动词
1496,平板,名词
1497,5,数词
1498,。,标点符号
1499,。,标点符号
1500,。,标点符号
1501,所以,连词
1502,，,标点符号
1503,抽奖,动词
1504,吗,语气词
1505,？,标点符号
1506,军军,名词
1507,期待,动词
1508,小米,名词
1509,10,数词
1510,和,连词
1511,Discovery,名词
1512,一起,副词
1513,探索,动词
1514,！,标点符号
1515,平板,名词
1516,5,数词
1517,快,形容词
1518,点,量词
1519,出,动词
1520,，,标点符号
1521,我,代词
1522,平板,名词
1523,4,数词
1524,不,副词
1525,想,动词
1526,用,动词
1527,了,助词
1528,明天,时间词
1529,看,动词
1530,大,形容词
1531,片,量词
1532,雷,名词
1533,总,区别词
1534,，,标点符号
1535,我,代词
1536,想,动词
1537,提,动词
1538,个,量词
1539,建议,名词
1540,，,标点符号
1541,小米,名词
1542,售后服务,名词
1543,中心,名词
1544,，,标点符号
1545,能,动词
1546,不,副词
1547,能,动词
1548,多,形容词
1549,开,动词
1550,一点,数词
1551,啊,语气词
1552,，,标点符号
1553,我,代词
1554,在,介词
1555,北京,名词
1556,，,标点符号
1557,整个,区别词
1558,北京,名词
1559,城东,处所词
1560,半,数词
1561,部,量词
1562,，,标点符号
1563,平谷,名词
1564,密云,名词
1565,怀柔,名词
1566,顺义,名词
1567,四,数词
1568,个,量词
1569,区,名词
1570,，,标点符号
1571,您,代词
1572,看看,动词
1573,，,标点符号
1574,一个,数词
1575,售,动词
1576,后,方位词
1577,中心,名词
1578,都,副词
1579,没有,动词
1580,，,标点符号
1581,修,动词
1582,个,量词
1583,手机,名词
1584,还要,动词
1585,去,动词
1586,昌平,名词
1587,海淀,名词
1588,，,标点符号
1589,太,副词
1590,不,副词
1591,方便,形容词
1592,了,语气词
1593,！,标点符号
1594,！,标点符号
1595,起来,动词
1596,搞,动词
1597,点,量词
1598,小,形容词
1599,米,量词
1600,10,数词
1601,发货,动词
1602,吧,语气词
1603,，,标点符号
1604,起来,动词
1605,搞,动词
1606,点,量词
1607,小,形容词
1608,米,量词
1609,10,数词
1610,发货,动词
1611,吧,语气词
1612,，,标点符号
1613,起来,动词
1614,搞,动词
1615,点,量词
1616,小,形容词
1617,米,量词
1618,10,数词
1619,发货,动词
1620,吧,语气词
1621,，,标点符号
1622,谢谢,动词
1623,大,形容词
1624,佬,名词
1625,雷,名词
1626,总,副词
1627,你,代词
1628,转发,动词
1629,也,副词
1630,是,动词
1631,为了,介词
1632,小米,名词
1633,手,名词
1634,环,名词
1635,吧,语气词
1636,雷,名词
1637,总,区别词
1638, ,
1639,求,动词
1640,求,动词
1641,你,代词
1642,去,动词
1643,拧,动词
1644,螺丝,名词
1645,吧,语气词
1646,、,标点符号
1647,米,名词
1648,10,数词
1649,都,副词
1650,6,数词
1651,天,量词
1652,没,副词
1653,发货,动词
1654,了,助词
1655,小,形容词
1656,米,量词
1657,10,数词
1658,支持,动词
1659,两,数词
1660,张,量词
1661,电信,名词
1662,卡,名词
1663,吗,语气词
1664,？,标点符号
1665,上月,时间词
1666,25,数词
1667,号,量词
1668,全,形容词
1669,款,名词
1670,预售,动词
1671,的,助词
1672,10pro,名词
1673,至今,副词
1674,未,副词
1675,发,动词
1676,货,名词
1677,，,标点符号
1678,问,动词
1679,具体,形容词
1680,发货,动词
1681,时间,名词
1682,客,名词
1683,服,动词
1684,一,数词
1685,问,动词
1686,三,数词
